"surface","target_section","target_path","ref_class","span_start","span_end","gold","note"
"this paragraph","274","h.6","local_structural","14584","14598","1","source: §274(h)(6)(B); target: §274(h)(6)"
"this paragraph","274","n.1","local_structural","24944","24958","1","source: §274(n)(1); target: §274(n)(1)"
"this section","274","","local_structural","1573","1585","1","source: §274(b)(1); target: §274"
"This section","274","","local_structural","9153","9165","1","source: §274(f); target: §274"
"this section","274","","local_structural","27919","27931","1","source: §274(p); target: §274"
"this subsection","274","a","local_structural","836","851","1","source: §274(a)(3); target: §274(a)"
"this subsection","274","c","local_structural","3342","3357","1","source: §274(c)(3); target: §274(c)"
"This subsection","274","d","local_structural","4389","4404","1","source: §274(d) concluding sentence; target: §274(d)"
"this subsection","274","e","local_structural","9022","9037","1","source: §274(e) concluding sentence; target: §274(e)"
"this subsection","274","h","local_structural","11639","11654","1","source: §274(h)(3); target: §274(h)"
"this subsection","274","h","local_structural","12054","12069","1","source: §274(h)(4)(A); target: §274(h)"
"This subsection","274","h","local_structural","12253","12268","1","source: §274(h)(4)(B); target: §274(h)"
"this subsection","274","h","local_structural","13987","14002","1","source: §274(h)(6)(A); target: §274(h)"
"this subsection","274","j","local_structural","19350","19365","1","source: §274(j)(3); target: §274(j)"
"this subsection","274","j","local_structural","21164","21179","1","source: §274(j)(4); target: §274(j)"
