sample_index,source_section,target_section,label,note,occurrence_count,contexts
11,172,401,valid,,1,extent attributable to contributions which are made on behalf of an individual who is an employee within the meaning of section 401(c)(1) shall not be treated as attributable to the trade or business of such individual. (5) Computation of deduction for dividends received The deductions allowed by sections 243 (relating to dividends received by corporation
12,7210,7603,valid,,1," to appear to testify, or to appear and produce books, accounts, records, memoranda, or other papers, as required under sections 6420(e)(2), 6421(g)(2), 6427(j)(2), 7602, 7603, and 7604(b), neglects to appear or to produce such books, accounts, records, memoranda, or other papers, shall, upon conviction thereof, be fined not more than $1,000, or imprisoned not more than 1 year, or both, together with cost"
13,1291,78,valid,,1,"investment company— (A) the amount of such distribution shall be determined for purposes of this section with regard to section 78, (B) the excess distribution taxes shall be allocated ratably to each day in the taxpayer’s holding period for the stock, and (C) to the extent— (i) that such excess distribution taxes are allocated to a taxable year re"
14,291,614,valid,,1," (including lignite), the amount allowable as a deduction under section 613 with respect to any property (as defined in section 614) shall be reduced by 20 percent of the amount of the excess (if any) of— (A) the amount of the deduction allowable under section 613 for the taxable year (determined without regard to this paragraph), over (B) the adjus"
15,1234A,1256,valid,,2,") with respect to property which is (or on acquisition would be) a capital asset in the hands of the taxpayer, or (2) a section 1256 contract (as defined in section 1256) not described in paragraph (1) which is a capital asset in the hands of the taxpayer, shall be treated as gain or loss from the sale of a capital asset. The preceding sentence shall
---
or on acquisition would be) a capital asset in the hands of the taxpayer, or (2) a section 1256 contract (as defined in section 1256) not described in paragraph (1) which is a capital asset in the hands of the taxpayer, shall be treated as gain or loss from the sale of a capital asset. The preceding sentence shall not apply to the retirement of any d"
16,420,433,valid,,2,"r qualified current retiree liabilities based on premiums for applicable life insurance benefits. (5) Coordination with sections 430 and 433 In the case of a qualified transfer, any assets so transferred shall not, for purposes of this section and sections 430 and 433, be treated as assets in the plan. (6) Application to multiemployer plans In the case of a
---
 430 and 433 In the case of a qualified transfer, any assets so transferred shall not, for purposes of this section and sections 430 and 433, be treated as assets in the plan. (6) Application to multiemployer plans In the case of a multiemployer plan, this section shall be applied to any such plan— (A) by treating any reference in this section to an employer"
17,1293,11,valid,,1,"fective rate of income tax imposed by a foreign country greater than 90 percent of the maximum rate of tax specified in section 11, or (ii) such income is— (I) from sources within the United States, (II) effectively connected with the conduct by the qualified electing fund of a trade or business in the United States, and (III) not exempt from taxat"
18,3121,4985,valid,,2,"y to any excess parachute payment (as defined in section 280G(b)) or to any specified stock compensation (as defined in section 4985) on which tax is imposed by section 4985. (B) Taxed only once Any amount taken into account as wages by reason of subparagraph (A) (and the income attributable thereto) shall not thereafter be treated as wages for purpo
---
ined in section 280G(b)) or to any specified stock compensation (as defined in section 4985) on which tax is imposed by section 4985. (B) Taxed only once Any amount taken into account as wages by reason of subparagraph (A) (and the income attributable thereto) shall not thereafter be treated as wages for purposes of this chapter. (C) Nonqualified def"
19,2106,6018,valid,,1, a nonresident not a citizen of the United States unless the executor includes in the return required to be filed under section 6018 the value at the time of his death of that part of the gross estate of such nonresident not situated in the United States.
20,543,3,invalid,Securities and Exchange Act of 1934,1,"oyalties (within the meaning of subsection (d)), and (E) interest received by a broker or dealer (within the meaning of section 3(a)(4) or (5) of the Securities and Exchange Act of 1934) in connection with— (i) any securities or money market instruments held as property described in section 1221(a)(1), (ii) margin accounts, or (iii) any financing for a "
21,7436,6213,valid,,1,"rictions on assessment and collection pending action, etc. The principles of subsections (a), (b), (c), (d), and (f) of section 6213, section 6214(a), section 6215, section 6503(a), section 6512, and section 7481 shall apply to proceedings brought under this section in the same manner as if the Secretary’s determination described in subsection (a) were a notice of deficiency. (2) Awarding of costs and certain fees Section 7430 s"
22,6038B,361,valid,,1,"general Each United States person who— (1) transfers property to— (A) a foreign corporation in an exchange described in section 332, 351, 354, 355, 356, or 361, or (B) a foreign partnership in a contribution described in section 721 or in any other contribution described in regulations prescribed by the Secretary, or (2) makes a distribution described in section 336 to a perso"
23,882,906,valid,,2," source or the credit provided by section 34 for certain uses of gasoline. (3) Foreign tax credit Except as provided by section 906, foreign corporations shall not be allowed the credit against the tax for taxes of foreign countries and possessions of the United States allowed by section 901. (4) Cross reference For rule that certain foreign taxes a
---
 reference For rule that certain foreign taxes are not to be taken into account in determining deduction or credit, see section 906(b)(1). (d) Election to treat real property income as income connected with United States business (1) In general A foreign corporation which during the taxable year derives any income— (A) from real property located in the Un"
24,351,357,valid,,1,"s of this title. (h) Cross references (1) For special rule where another party to the exchange assumes a liability, see section 357. (2) For the basis of stock or property received in an exchange to which this section applies, see sections 358 and 362. (3) For special rule in the case of an exchange described in this section but which results in a g"
25,219,402,valid,,1,"ntributed amounts No deduction shall be allowed under this section with respect to a rollover contribution described in section 402(c), 403(a)(4), 403(b)(8), 408(d)(3), or 457(e)(16). (3) Amounts contributed under endowment contract In the case of an endowment contract described in section 408(b), no deduction shall be allowed under this section for that portion of the amounts paid under the contrac"
26,885,864,valid,,1,"applicable in determining whether any foreign corporation is engaged in trade or business within the United States, see section 864(b). (3) For adjustment of tax in case of corporations of certain foreign countries, see section 896. (4) For allowance of credit against the tax in case of a foreign corporation having income effectively connected with the"
27,2043,2516,valid,,1,"ting to expenses, indebtedness, and taxes), a transfer of property which satisfies the requirements of paragraph (1) of section 2516 (relating to certain property settlements) shall be considered to be made for an adequate and full consideration in money or money’s worth. "
28,529A,152,valid,,2,"respect to any designated beneficiary, an individual who bears a relationship to such beneficiary which is described in section 152(d)(2)(B). For purposes of the preceding sentence, a rule similar to the rule of section 152(f)(1)(B) shall apply. (5) Qualified disability expenses The term “qualified disability expenses” means any expenses related to the eligi
---
ciary which is described in section 152(d)(2)(B). For purposes of the preceding sentence, a rule similar to the rule of section 152(f)(1)(B) shall apply. (5) Qualified disability expenses The term “qualified disability expenses” means any expenses related to the eligible individual’s blindness or disability which are made for the benefit of an eligible indiv"
29,6404,6213,valid,,2," of an assessment of any tax imposed by chapter 1 attributable in whole or in part to a mathematical error described in section 6213(g)(2)(A), if the return was prepared by an officer or employee of the Internal Revenue Service acting in his official capacity to provide assistance to taxpayers in the preparation of income tax returns, the Secretary is authori
---
ys after the date described in subparagraph (A)(i). (2) Special rules (A) Date of mailing Rules similar to the rules of section 6213 shall apply for purposes of determining the date of the mailing referred to in paragraph (1). (B) Relief Rules similar to the rules of section 6512(b) shall apply for purposes of this subsection. (C) Review An order of "
30,2058,2001,valid,,1,"§ 2058. State death taxes (a) Allowance of deduction For purposes of the tax imposed by section 2001, the value of the taxable estate shall be determined by deducting from the value of the gross estate the amount of any estate, inheritance, legacy, or succession taxes actually paid to any State or the District of Colum"
31,22,86,valid,,1,"workmen’s compensation benefits For purposes of subparagraph (A), any amount treated as a social security benefit under section 86(d)(3) shall be treated as a disability benefit received under title II of the Social Security Act. (d) Adjusted gross income limitation If the adjusted gross income of the taxpayer exceeds— (1) $7,500 in the case of a single "
32,224,931,valid,,1,"the adjusted gross income of the taxpayer for the taxable year increased by any amount excluded from gross income under section 911, 931, or 933. (c) Tips received in course of trade or business In the case of qualified tips received by an individual during any taxable year in the course of a trade or business (other than the trade or business of performing serv"
33,368,355,valid,,4,"ecurities of the corporation to which the assets are transferred are distributed in a transaction which qualifies under section 354, 355, or 356; (E) a recapitalization; (F) a mere change in identity, form, or place of organization of one corporation, however effected; or (G) a transfer by a corporation of all or part of its assets to another corporation in a ti
---
ecurities of the corporation to which the assets are transferred are distributed in a transaction which qualifies under section 354, 355, or 356. (2) Special rules relating to paragraph (1) (A) Reorganizations described in both paragraph (1)(C) and paragraph (1)(D) If a transaction is described in both paragraph (1)(C) and paragraph (1)(D), then, for purposes of
---
ning given such term by section 304(c), and (ii) in the case of a transaction with respect to which the requirements of section 355 (or so much of section 356 as relates to section 355) are met, the fact that the shareholders of the distributing corporation dispose of part or all of the distributed stock, or the fact that the corporation whose stock
---
he case of a transaction with respect to which the requirements of section 355 (or so much of section 356 as relates to section 355) are met, the fact that the shareholders of the distributing corporation dispose of part or all of the distributed stock, or the fact that the corporation whose stock was distributed issues additional stock, shall not b"
34,7601,7212,valid,,1,"plicable to forcible obstruction or hindrance of Treasury officers or employees in the performance of their duties, see section 7212. "
35,542,541,valid,,1,"tion 368(a)(3)(A)) unless a major purpose of instituting or continuing such case is the avoidance of the tax imposed by section 541. (d) Special rules for applying subsection (c)(6) (1) Lending or finance business defined (A) In general Except as provided in subparagraph (B), for purposes of subsection (c)(6), the term “lending or finance business” "
36,411,403,valid,,1,"le thereto). For purposes of this subparagraph, the term “rollover contributions” means any rollover contribution under sections 402(c), 403(a)(4), 403(b)(8), 408(d)(3)(A)(ii), and 457(e)(16). [(12) Repealed. Pub. L. 109–280, title IX, § 904(a)(2) , Aug. 17, 2006 , 120 Stat. 1049 ] (13) Special rules for plans computing accrued benefits by reference to hypothetical account balance or equivalent amounts (A) I"
37,2801,2523,valid,,1," to spouse or charity Such term shall not include any property with respect to which a deduction would be allowed under section 2055, 2056, 2522, or 2523, whichever is appropriate, if the decedent or donor were a United States person. (4) Transfers in trust (A) Domestic trusts In the case of a covered gift or bequest made to a domestic trust— (i) subsection (a) shall app"
38,6416,4221,valid,,1,"rtation of blood; (F) in the case of any tire taxable under section 4071(a), sold to any person for use as described in section 4221(e)(3); or (G) in the case of gasoline, used or sold for use in the production of special fuels referred to in section 4041. Subparagraphs (C), (D), and (E) shall not apply in the case of any tax paid under section 4064. In th"
39,38,5011,valid,,1," oil and gas well production credit determined under section 45I(a), (20) the distilled spirits credit determined under section 5011(a), (21) the advanced nuclear power facility production credit determined under section 45J(a), (22) the nonconventional source production credit determined under section 45K(a), (23) the new energy efficient home credit d"
40,384,382,valid,,1,"n loss”, “recognition period”, and “recognition period taxable year”, have the same respective meanings as when used in section 382(h), except that the acquisition date shall be taken into account in lieu of the change date. (d) Limitation also to apply to excess credits or net capital losses Rules similar to the rules of subsection (a) shall also appl"
41,1396,51,valid,,3,") In general The term “qualified zone wages” shall not include wages taken into account in determining the credit under section 51. (B) Coordination with paragraph (2) The $15,000 amount in paragraph (2) shall be reduced for any calendar year by the amount of wages paid or incurred during such year which are taken into account in determining the cr
---
r by the amount of wages paid or incurred during such year which are taken into account in determining the credit under section 51. (d) Qualified zone employee For purposes of this section— (1) In general Except as otherwise provided in this subsection, the term “qualified zone employee” means, with respect to any period, any employee of an employe
---
 The term “qualified zone employee” shall not include— (A) any individual described in subparagraph (A), (B), or (C) of section 51(i)(1), (B) any 5-percent owner (as defined in section 416(i)(1)(B)), (C) any individual employed by the employer for less than 90 days, (D) any individual employed by the employer at any facility described in section 144(c)(6"
42,681,508,valid,,1," Cross reference For disallowance of certain charitable, etc., deductions otherwise allowable under section 642(c), see sections 508(d) and 4948(c)(4). "
43,818,403,valid,,2,"2) entered into under plans which (as of the time the contracts were entered into) were deemed to be plans described in section 403(a), or plans meeting the requirements of paragraphs (3), (4), (5), and (6) of section 165(a) of the Internal Revenue Code of 1939; (3) provided for employees of the life insurance company under a plan which, for the taxabl
---
orresponding provisions of prior revenue laws), or purchased to provide retirement annuities for employees described in section 403(b)(1)(A)(ii) by an employer which is a State, a political subdivision of a State, or an agency or instrumentality of any one or more of the foregoing; (5) entered into with trusts which (at the time the contracts were entered into) "
44,965,7874,valid,,3,"riated entity For purposes of this subsection, the term “expatriated entity” has the same meaning given such term under section 7874(a)(2), except that such term shall not include an entity if the surrogate foreign corporation with respect to the entity is treated as a domestic corporation under section 7874(b). (3) Surrogate foreign corporation For purpos
---
de an entity if the surrogate foreign corporation with respect to the entity is treated as a domestic corporation under section 7874(b). (3) Surrogate foreign corporation For purposes of this subsection, the term “surrogate foreign corporation” has the meaning given such term in section 7874(a)(2)(B). (m) Special rules for United States shareholders whi
---
orporation For purposes of this subsection, the term “surrogate foreign corporation” has the meaning given such term in section 7874(a)(2)(B). (m) Special rules for United States shareholders which are real estate investment trusts (1) In general If a real estate investment trust is a United States shareholder in 1 or more deferred foreign income corporations"
45,5392,5385,valid,,1,"tened natural wine, special natural wine, and standard agricultural wine, produced in accordance with the provisions of sections 5381, 5385, 5386, and 5387, respectively. (b) Heavy bodied blending wine For purposes of this subchapter the term “heavy bodied blending wine” means wine made from fruit without added sugar, and with or without added wine spirits, and conforming "
46,45T,4972,valid,,1,igible automatic contribution arrangement (as defined in section 414(w)(3)) in a qualified employer plan (as defined in section 4972(d)) sponsored by the employer. (2) Maintenance of arrangement No taxable year with respect to an employer shall be treated as occurring within the credit period unless the arrangement described in paragraph (1) is included
47,7518,531,valid,,1," without regard to this section and chapter 535 of title 46, United States Code, and (E) in applying the tax imposed by section 531 (relating to the accumulated earnings tax), amounts while held in the fund shall not be taken into account. (2) Only qualified deposits eligible for treatment Paragraph (1) shall apply with respect to any amount only if"
48,904,6724,valid,,1,ment furnished to such individual. (C) Payee statement The term “payee statement” has the meaning given to such term by section 6724(d)(2). (D) Estates and trusts not eligible This subsection shall not apply to any estate or trust. (k) Cross references For increase of limitation under subsection (a) for taxes paid with respect to amounts received which wer
49,6702,6159,valid,,1,", or (II) section 6330 (relating to notice and opportunity for hearing before levy), and (ii) an application under— (I) section 6159 (relating to agreements for payment of tax liability in installments), (II) section 7122 (relating to compromises), or (III) section 7811 (relating to taxpayer assistance orders). (3) Opportunity to withdraw submission "
50,170,4043,invalid,"title 18, United States Code",1,"orney General for credit to the “Commissary Funds Federal Prisons” as gifts to or for the use of the United States, see section 4043 of title 18 , United States Code. (9) For charitable contributions to or for the use of Indian tribal governments (or their subdivisions), see section 7871. "
51,4941,501,valid,,2,"termined without regard to section 7872) and if the proceeds of the loan are used exclusively for purposes specified in section 501(c)(3); (C) the furnishing of goods, services, or facilities by a disqualified person to a private foundation shall not be an act of self-dealing if the furnishing is without charge and if the goods, services, or facilities so
---
is without charge and if the goods, services, or facilities so furnished are used exclusively for purposes specified in section 501(c)(3); (D) the furnishing of goods, services, or facilities by a private foundation to a disqualified person shall not be an act of self-dealing if such furnishing is made on a basis no more favorable than that on which such "
52,263,193,valid,,1,"o deduct under section 190, (F) expenditures for tertiary injectants with respect to which a deduction is allowed under section 193, (G) expenditures for which a deduction is allowed under section 179, (H) expenditures for which a deduction is allowed under section 179B, (I) expenditures for which a deduction is allowed under section 179C, (J) expen"
53,509,511,valid,,2,"f the amount of the unrelated business taxable income (as defined in section 512) over the amount of the tax imposed by section 511; (3) an organization which— (A) is organized, and at all times thereafter is operated, exclusively for the benefit of, to perform the functions of, or to carry out the purposes of one or more specified organizations des
---
(a)(5)), rents, and royalties, but not including any such income to the extent included in computing the tax imposed by section 511. Such term shall also include income from sources similar to those in the preceding sentence. (f) Requirements for supporting organizations (1) Type III supporting organizations For purposes of subsection (a)(3)(B)(iii)"
54,877A,72,valid,,1,"section 877(e)(2). (6) Early distribution tax The term “early distribution tax” means any increase in tax imposed under section 72(t), 220(f)(4), 223(f)(4), 409A(a)(1)(B), 529(c)(6), 529A(c)(3), or 530(d)(4). (h) Other rules (1) Termination of deferrals, etc. In the case of any covered expatriate, notwithstanding any other provision of this title— (A) any time period for acquiring property which would result in the reductio"
55,267,1041,valid,,2,"ance of losses under this section, deferral under paragraph (2) shall be treated as disallowance. (g) Coordination with section 1041 Subsection (a)(1) shall not apply to any transfer described in section 1041(a) (relating to transfers of property between spouses or incident to divorce).
---
ated as disallowance. (g) Coordination with section 1041 Subsection (a)(1) shall not apply to any transfer described in section 1041(a) (relating to transfers of property between spouses or incident to divorce). "
56,45W,30B,valid,,1,"al source of electricity, or (B) is a motor vehicle which satisfies the requirements under subparagraphs (A) and (B) of section 30B(b)(3), and (4) is of a character subject to the allowance for depreciation. (d) Special rules (1) In general Rules similar to the rules under subsection (f) of section 30D (without regard to paragraph (10) or (11) thereof) sh"
57,7409,7402,valid,,1,t in which it has made political expenditures. The court may exercise its jurisdiction over such action (as provided in section 7402(a)) separate and apart from any other action brought by the United States against such organization. (2) Requirements An action may be brought under subsection (a) only if— (A) the Internal Revenue Service has notified the
58,6214,7463,valid,,1," Court (a) Jurisdiction as to increase of deficiency, additional amounts, or additions to the tax Except as provided by section 7463, the Tax Court shall have jurisdiction to redetermine the correct amount of the deficiency even if the amount so redetermined is greater than the amount of the deficiency, notice of which has been mailed to the taxpayer"
59,6432,6656,valid,,1,"of the most recent payroll period in the quarter. (C) Treatment of deposits The Secretary shall waive any penalty under section 6656 for any failure to make a deposit of the tax imposed by section 3111(b), or so much of the taxes imposed under section 3221(a) as are attributable to the rate in effect under section 3111(b), if the Secretary determines"
60,7871,403,valid,,1," or their political subdivisions); (6) for purposes of— (A) section 105(e) (relating to accident and health plans), (B) section 403(b)(1)(A)(ii) (relating to the taxation of contributions of certain employers for employee annuities), and (C) section 454(b)(2) (relating to discount obligations); and (7) for purposes of— (A) chapter 41 (relating to tax on excess e"
61,170,197,valid,,1,"1221(a)(3) or 1231(b)(1)(C)), trademark, trade name, trade secret, know-how, software (other than software described in section 197(e)(3)(A)(i)), or similar property, or applications or registrations of such property, or (iv) of any taxidermy property which is contributed by the person who prepared, stuffed, or mounted the property or by any person who paid or "
62,5010,5114,valid,,1,"raph (B), the term “flavors content” means alcohol derived from flavors of a type for which drawback is allowable under section 5114. (B) Exceptions The term “flavors content” does not include— (i) alcohol derived from flavors made at a distilled spirits plant, (ii) alcohol derived from flavors distilled at a distilled spirits plant, and (iii) in the"
63,6342,6332,valid,,1,"Collection of liability Any money realized by proceedings under this subchapter (whether by seizure, by surrender under section 6332 (except pursuant to subsection (d)(2) thereof), or by sale of seized property) or by sale of property redeemed by the United States (if the interest of the United States in such property was a lien arising under the pro"
64,851,959,valid,,1,"s amounts included in gross income under section 951(a)(1)(A) or 1293(a) for the taxable year to the extent that, under section 959(a)(1) or 1293(c) (as the case may be), there is a distribution out of the earnings and profits of the taxable year which are attributable to the amounts so included. For purposes of paragraph (2), the Secretary may by regulation exclude"
65,2624,2032,valid,,2,"perty for purposes of this chapter shall be the same as its value for purposes of chapter 11 (determined with regard to sections 2032 and 2032A). (c) Alternate valuation election permitted in the case of taxable terminations occurring at death If 1 or more taxable terminations with respect to the same trust occur at the same time as and as a result of the death
---
of an individual, an election may be made to value all of the property included in such terminations in accordance with section 2032. (d) Reduction for consideration provided by trans­feree For purposes of this chapter, the value of the property transferred shall be reduced by the amount of any consideration provided by the transferee. "
66,62,219,valid,,1,"the meaning of section 401(c)(1), the deduction allowed by section 404. (7) Retirement savings The deduction allowed by section 219 (relating to deduction of certain retirement savings). [(8) Repealed. Pub. L. 104–188, title I, § 1401(b)(4) , Aug. 20, 1996 , 110 Stat. 1788 ] (9) Penalties forfeited because of premature withdrawal of funds from time "
67,7203,6050I,valid,,1," to tax under section 6654 or 6655 with respect to such failure. In the case of a willful violation of any provision of section 6050I, the first sentence of this section shall be applied by substituting “felony” for “misdemeanor” and “5 years” for “1 year”. "
68,1248,959,valid,,2,"but only to the extent the inclusion of such amount did not result in an exclusion of an amount from gross income under section 959. [(2) Repealed. Pub. L. 100–647, title I, § 1006(e)(14)(A) , Nov. 10, 1988 , 102 Stat. 3402 ] (3) Less developed country corporations under prior law Earnings and profits of a foreign corporation which were accumulated
---
or provision excluding amounts previously taxed under this section from gross income when subsequently distributed, see section 959(e). "
69,877A,871,valid,,1,B) Application of tax Any item subject to the withholding tax imposed under paragraph (1) shall be subject to tax under section 871. (C) Coordination with other withholding requirements Any item subject to withholding under paragraph (1) shall not be subject to withholding under section 1441 or chapter 24. (e) Treatment of specified tax deferred acc
70,108,368,valid,,1,"C) Stock of parent corporation For purposes of this paragraph, stock of a corporation in control (within the meaning of section 368(c)) of the debtor corporation shall be treated as stock of the debtor corporation. (D) Treatment of successor corporation For purposes of this paragraph, the term “debtor corporation” includes a successor corporation. (E) "
71,401,417,valid,,6,"ent survivor annuity.— (A) In general .— In the case of any plan to which this paragraph applies, except as provided in section 417, a trust forming part of such plan shall not constitute a qualified trust under this section unless— (i) in the case of a vested participant who does not die before the annuity starting date, the accrued benefit payable
---
t’s surviving spouse (or, if there is no surviving spouse or the surviving spouse consents in the manner required under section 417(a)(2), to a designated beneficiary), (II) such participant does not elect a payment of benefits in the form of a life annuity, and (III) with respect to such participant, such plan is not a direct or indirect transferee (in a
---
ve the requirements of this paragraph, and (ii) other definitions and special rules for purposes of this paragraph, see section 417. (12) A trust shall not constitute a qualified trust under this section unless the plan of which such trust is a part provides that in the case of any merger or consolidation with, or transfer of assets or liabilities t
---
the satisfaction of a plan representative that such consent may not be obtained by reason of circumstances described in section 417(a)(2)(B)), or an election to waive the right of the spouse to either a qualified joint and survivor annuity or a qualified preretirement survivor annuity is in effect in accordance with the requirements of section 417(a), (II) s
---
 and survivor annuity or a qualified preretirement survivor annuity is in effect in accordance with the requirements of section 417(a), (II) such spouse is ordered or required in such judgment, order, decree, or settlement to pay an amount to the plan in connection with a violation of part 4 of such subtitle, or (III) in such judgment, order, decree, o
---
 in the last sentence of section 411(a)(9)), to a participant or beneficiary whose annuity starting date (as defined in section 417(f)(2)) occurs during the period referred to in subparagraph (A), (ii) any payment for the purchase of an irrevocable commitment from an insurer to pay benefits, and (iii) any other payment specified by the Secretary by regula"
72,163,172,valid,,1,"ess, (ii) any business interest or business interest income, (iii) the amount of any net operating loss deduction under section 172, (iv) the amount of any deduction allowed under section 199A, (v) any deduction allowable for depreciation, amortization, or depletion, and (vi) the amounts included in gross income under sections 951(a), 951A(a), and 7"
73,871,891,valid,,1,"patriate United States citizens, see section 877. (3) For doubling of tax on citizens of certain foreign countries, see section 891. (4) For adjustment of tax in case of nationals or residents of certain foreign countries, see section 896. (5) For withholding of tax at source on nonresident alien individuals, see section 1441. (6) For election to tr"
74,1351,38,valid,,1,"prescribed by the Secretary, in— (1) the credit under section 27 (relating to foreign tax credit), (2) the credit under section 38 (relating to general business credit), (3) the net operating loss deduction under section 172, (4) the capital loss carryover under section 1212(a), and (5) such other items as may be specified by such regulations, for "
75,7479,6532,valid,,1,"iled before the 91st day after the date of such mailing. (c) Extension of time to file refund suit The 2-year period in section 6532(a)(1) for filing suit for refund after disallowance of a claim shall be suspended during the 90-day period after the mailing of the notice referred to in subsection (b)(3) and, if a pleading has been filed with the Tax Court "
76,163,6163,valid,,1,"tax imposed by section 2001 for the period during which an extension of time for payment of such tax is in effect under section 6163, and (F) any interest allowable as a deduction under section 221 (relating to interest on educational loans). (3) Qualified residence interest For purposes of this subsection— (A) In general The term “qualified residenc"
77,149,141,valid,,1,"all not include any bond if— (i) section 146 applies to the issue of which such bond is a part (other than by reason of section 141(b)(5)) or would apply but for section 146(i), or (ii) section 143( l )(3) applies to such issue. (7) Definition of loan; treatment of mixed use issues (A) Loan For purposes of this subsection, the term “loan” does not include"
78,6040,905,valid,,1,"erefor, see section 2204. (3) For the notice required of taxpayers for redetermination of taxes claimed as credits, see sections 905(c) and 2016. (4) For exemption certificates required to be furnished to employers by employees, see section 3402(f)(2), (3), (4), and (5). (5) For receipts, constituting information returns, required to be furnished to employees, s"
79,856,501,valid,,1,"ses of this paragraph, the term “qualified trust” means any trust described in section 401(a) and exempt from tax under section 501(a). (i) Treatment of certain wholly owned subsidiaries (1) In general For purposes of this title— (A) a corporation which is a qualified REIT subsidiary shall not be treated as a separate corporation, and (B) all assets, l"
80,45G,38,valid,,1,"§ 45G. Railroad track maintenance credit (a) General rule For purposes of section 38, the railroad track maintenance credit determined under this section for the taxable year is an amount equal to 40 percent (50 percent in the case of any taxable year beginning before January 1, 2023 ) of the qualified "
81,6081,7508A,valid,,1,"ason of war, see section 7508, and by reason of Presidentially declared disaster or terroristic or military action, see section 7508A. "
